id,name,office,role,state,county_or_region,jurisdiction,website,email,phone,source_file,source_row_number,notes
ks-afc16d3b7ede6a69,Ryan Kriegshauser,"U.S. Attorney's Office, Kansas",U.S. Attorney,KS,,Kansas,https://www.justice.gov/usao-ks,,,us-attorneys-doj-2026.csv,32,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
ky-6c847f3d439908de,Paul McCaffrey,"U.S. Attorney's Office, Eastern District of Kentucky",U.S. Attorney,KY,,Eastern District of Kentucky,https://www.justice.gov/usao-edky,,,us-attorneys-doj-2026.csv,33,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Office Leader (Other)."
ky-6144320538f9ca3c,Kyle G. Bumgarner,"U.S. Attorney's Office, Western District of Kentucky",U.S. Attorney,KY,,Western District of Kentucky,https://www.justice.gov/usao-wdky,,,us-attorneys-doj-2026.csv,34,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
la-6afcd6c0b3e0f158,David I. Courcelle,"U.S. Attorney's Office, Eastern District of Louisiana",U.S. Attorney,LA,,Eastern District of Louisiana,https://www.justice.gov/usao-edl,,,us-attorneys-doj-2026.csv,35,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
la-b1d6c0eb62f02bca,Kurt Wall,"U.S. Attorney's Office, Middle District of Louisiana",U.S. Attorney,LA,,Middle District of Louisiana,https://www.justice.gov/usao-mdl,,,us-attorneys-doj-2026.csv,36,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
la-752f016f64c02fd6,Zachary Keller,"U.S. Attorney's Office, Western District of Louisiana",U.S. Attorney,LA,,Western District of Louisiana,https://www.justice.gov/usao-wdl,,,us-attorneys-doj-2026.csv,37,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
me-736cc4f735f1e783,Andrew Benson,"U.S. Attorney's Office, Maine",U.S. Attorney,ME,,Maine,https://www.justice.gov/usao-me,,,us-attorneys-doj-2026.csv,38,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
md-468cdc9f8e5b0b11,Kelly O. Hayes,"U.S. Attorney's Office, Maryland",U.S. Attorney,MD,,Maryland,https://www.justice.gov/usao-md,,,us-attorneys-doj-2026.csv,39,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ma-6c6373e90a95a777,Leah Foley,"U.S. Attorney's Office, Massachusetts",U.S. Attorney,MA,,Massachusetts,https://www.justice.gov/usao-m,,,us-attorneys-doj-2026.csv,40,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
mi-302392d9fbafc1d6,Jerome F. Gorgon Jr.,"U.S. Attorney's Office, Eastern District of Michigan",U.S. Attorney,MI,,Eastern District of Michigan,https://www.justice.gov/usao-edmi,,,us-attorneys-doj-2026.csv,41,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
mi-e77215090e93f53e,Timothy VerHey,"U.S. Attorney's Office, Western District of Michigan",U.S. Attorney,MI,,Western District of Michigan,https://www.justice.gov/usao-wdmi,,,us-attorneys-doj-2026.csv,42,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
mn-87f9efa8ce762199,Daniel Rosen,"U.S. Attorney's Office, Minnesota",U.S. Attorney,MN,,Minnesota,https://www.justice.gov/usao-mn,,,us-attorneys-doj-2026.csv,43,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
ms-f152e4e72c2d3e04,Scott Leary,"U.S. Attorney's Office, Northern District of Mississippi",U.S. Attorney,MS,,Northern District of Mississippi,https://www.justice.gov/usao-ndms,,,us-attorneys-doj-2026.csv,44,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
ms-5d7a5f773eea9575,Baxter Kruger,"U.S. Attorney's Office, Southern District of Mississippi",U.S. Attorney,MS,,Southern District of Mississippi,https://www.justice.gov/usao-sdms,,,us-attorneys-doj-2026.csv,45,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
mo-71b51581d0665fe2,Thomas Albus,"U.S. Attorney's Office, Eastern District of Missouri",U.S. Attorney,MO,,Eastern District of Missouri,https://www.justice.gov/usao-edmo,,,us-attorneys-doj-2026.csv,46,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
