id,name,office,role,state,county_or_region,jurisdiction,website,email,phone,source_file,source_row_number,notes
ok-24d0a0e18ad10828,Clinton J. Johnson,"U.S. Attorney's Office, Northern District of Oklahoma",U.S. Attorney,OK,,Northern District of Oklahoma,https://www.justice.gov/usao-ndok,,,us-attorneys-doj-2026.csv,67,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ok-2c01e232be8c1874,Robert J. Troester,"U.S. Attorney's Office, Western District of Oklahoma",U.S. Attorney,OK,,Western District of Oklahoma,https://www.justice.gov/usao-wdok,,,us-attorneys-doj-2026.csv,68,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
or-112624b7a96a036e,Scott Bradford,"U.S. Attorney's Office, Oregon",U.S. Attorney,OR,,Oregon,https://www.justice.gov/usao-or,,,us-attorneys-doj-2026.csv,69,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
pa-90fda8bdfbb13e8d,David Metcalf,"U.S. Attorney's Office, Eastern District of Pennsylvania",U.S. Attorney,PA,,Eastern District of Pennsylvania,https://www.justice.gov/usao-edp,,,us-attorneys-doj-2026.csv,70,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
pa-4bdcd69df10bb938,Brian Miller,"U.S. Attorney's Office, Middle District of Pennsylvania",U.S. Attorney,PA,,Middle District of Pennsylvania,https://www.justice.gov/usao-mdp,,,us-attorneys-doj-2026.csv,71,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
pa-a0313b70367bc8ec,Troy Rivetti,"U.S. Attorney's Office, Western District of Pennsylvania",U.S. Attorney,PA,,Western District of Pennsylvania,https://www.justice.gov/usao-wdp,,,us-attorneys-doj-2026.csv,72,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
pr-ef011cb5bc2f12b7,W. Stephen Muldrow,"U.S. Attorney's Office, Puerto Rico",U.S. Attorney,PR,,Puerto Rico,https://www.justice.gov/usao-pr,,,us-attorneys-doj-2026.csv,73,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
ri-c9db66b2fbd149e2,Charles Calenda,"U.S. Attorney's Office, Rhode Island",U.S. Attorney,RI,,Rhode Island,https://www.justice.gov/usao-ri,,,us-attorneys-doj-2026.csv,74,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
sc-7d46713fbd18670a,Bryan P. Stirling,"U.S. Attorney's Office, South Carolina",U.S. Attorney,SC,,South Carolina,https://www.justice.gov/usao-s,,,us-attorneys-doj-2026.csv,75,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
sd-2ed301e4b6ef910e,Ronald A. Parsons,"U.S. Attorney's Office, South Dakota",U.S. Attorney,SD,,South Dakota,https://www.justice.gov/usao-sd,,,us-attorneys-doj-2026.csv,76,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
tn-deac6412dacdb386,Francis M. Hamilton III,"U.S. Attorney's Office, Eastern District of Tennessee",U.S. Attorney,TN,,Eastern District of Tennessee,https://www.justice.gov/usao-edtn,,,us-attorneys-doj-2026.csv,77,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
tn-489f5756d3472f80,Braden Boucek,"U.S. Attorney's Office, Middle District of Tennessee",U.S. Attorney,TN,,Middle District of Tennessee,https://www.justice.gov/usao-mdtn,,,us-attorneys-doj-2026.csv,78,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
tn-7fef3e9e8f2128d8,D. Michael Dunavant,"U.S. Attorney's Office, Western District of Tennessee",U.S. Attorney,TN,,Western District of Tennessee,https://www.justice.gov/usao-wdtn,,,us-attorneys-doj-2026.csv,79,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
tx-3afb5d7347ec0f7d,Jay R. Combs,"U.S. Attorney's Office, Eastern District of Texas",U.S. Attorney,TX,,Eastern District of Texas,https://www.justice.gov/usao-edtx,,,us-attorneys-doj-2026.csv,80,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
tx-9834f8cdfda8fe29,Ryan Raybould,"U.S. Attorney's Office, Northern District of Texas",U.S. Attorney,TX,,Northern District of Texas,https://www.justice.gov/usao-ndtx,,,us-attorneys-doj-2026.csv,81,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
tx-de16f536bceb14b9,Nicholas J. Ganjei,"U.S. Attorney's Office, Southern District of Texas",U.S. Attorney,TX,,Southern District of Texas,https://www.justice.gov/usao-sdtx,,,us-attorneys-doj-2026.csv,82,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
tx-fd6c15b4f6dea806,Justin R. Simmons,"U.S. Attorney's Office, Western District of Texas",U.S. Attorney,TX,,Western District of Texas,https://www.justice.gov/usao-wdtx,,,us-attorneys-doj-2026.csv,83,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ut-53ba4c2f1bf2f9e9,Melissa Holyoak,"U.S. Attorney's Office, Utah",U.S. Attorney,UT,,Utah,https://www.justice.gov/usao-ut,,,us-attorneys-doj-2026.csv,84,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
vt-b59ad4d28fd0f054,Jon Ophardt,"U.S. Attorney's Office, Vermont",U.S. Attorney,VT,,Vermont,https://www.justice.gov/usao-vt,,,us-attorneys-doj-2026.csv,85,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Office Leader (Other)."
vi-e352d87c17b2e570,Adam F. Sleeper,"U.S. Attorney's Office, Virgin Islands",U.S. Attorney,VI,,Virgin Islands,https://www.justice.gov/usao-vi,,,us-attorneys-doj-2026.csv,86,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
va-15d70e17b743f8fa,Frank Bradsher,"U.S. Attorney's Office, Eastern District of Virginia",U.S. Attorney,VA,,Eastern District of Virginia,https://www.justice.gov/usao-edv,,,us-attorneys-doj-2026.csv,87,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Office Leader (Other)."
va-28d5a13d3d5ca21f,Robert Tracci,"U.S. Attorney's Office, Western District of Virginia",U.S. Attorney,VA,,Western District of Virginia,https://www.justice.gov/usao-wdv,,,us-attorneys-doj-2026.csv,88,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Acting United States Attorney."
wa-4f571fe588b1eac7,Pete Serrano,"U.S. Attorney's Office, Eastern District of Washington",U.S. Attorney,WA,,Eastern District of Washington,https://www.justice.gov/usao-edw,,,us-attorneys-doj-2026.csv,89,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Office Leader (Other)."
wa-f79ddbc965692542,Neil Floyd,"U.S. Attorney's Office, Western District of Washington",U.S. Attorney,WA,,Western District of Washington,https://www.justice.gov/usao-wdw,,,us-attorneys-doj-2026.csv,90,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Office Leader (Other)."
wv-bfef5eed9f5f751c,Matthew Harvey,"U.S. Attorney's Office, Northern District of West Virginia",U.S. Attorney,WV,,Northern District of West Virginia,https://www.justice.gov/usao-ndwv,,,us-attorneys-doj-2026.csv,91,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
wv-aef385935c1ad1ae,Moore Capito,"U.S. Attorney's Office, Southern District of West Virginia",U.S. Attorney,WV,,Southern District of West Virginia,https://www.justice.gov/usao-sdwv,,,us-attorneys-doj-2026.csv,92,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
wi-7aa6667b51d5dc68,Brad Schimel,"U.S. Attorney's Office, Eastern District of Wisconsin",U.S. Attorney,WI,,Eastern District of Wisconsin,https://www.justice.gov/usao-edwi,,,us-attorneys-doj-2026.csv,93,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
wi-18afcc0143ffed5e,Chadwick Elgersma,"U.S. Attorney's Office, Western District of Wisconsin",U.S. Attorney,WI,,Western District of Wisconsin,https://www.justice.gov/usao-wdwi,,,us-attorneys-doj-2026.csv,94,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Acting United States Attorney."
wy-2e26823e5a0accfd,Darin Smith,"U.S. Attorney's Office, Wyoming",U.S. Attorney,WY,,Wyoming,https://www.justice.gov/usao-wy,,,us-attorneys-doj-2026.csv,95,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
